ID,state
0,FADD -- IL1B -- MAPK8 -- MAPK14 -- BCL2 -- MAPK3 -- E2F1 -- PAK2 -- RB1 -- MYC -- NFKBIA -- IL23A -- AKT1 -- RXRB -- SP1 -- RIPK1 -- EIF2AK2 -- BIRC3 -- MAP4K4 -- TNFRSF1B -- TRAF2 -- ZFP36 -- BIRC2 -- ATM -- IL4 -- HSPB1 -- TERT -- MAP2K7 -- RIPK2 -- PPM1A -- SMURF2 -- FASLG -- NGF -- MAP3K14 -- FGF7 -- SHC1 -- TNFRSF10B -- KRT18 -- TNFRSF14 -- DAB2IP -- IRF1 -- RPAIN -- HIP1 -- BAD -- BCL2L1 -- SMPD1 -- CASP1 -- MTOR -- PEA15 -- FAF1 -- PRNP -- BAX -- CYCS
1,FADD -- MYD88 -- IL2 -- CASP3 -- NFATC2 -- BCL2 -- CHUK -- NFKB1 -- MAPK3 -- PAK2 -- MYC -- AKT1 -- TNFRSF1A -- TNFAIP3 -- SP1 -- ADAM17 -- TP53 -- TRADD -- EIF2AK2 -- BIRC3 -- IRAK1 -- TNFRSF1B -- TRAF2 -- TRAF1 -- ZFP36 -- ATM -- IL4 -- CSF2 -- TERT -- CDKN2A -- CCND1 -- PPM1A -- SMURF2 -- FASLG -- SOCS3 -- FGF14 -- MAP3K14 -- FGF7 -- SHC1 -- KRT18 -- IRF1 -- RPAIN -- OTUD7B -- XIAP -- SMPD1 -- PEA15 -- FAF1 -- BID -- CYCS -- HIF1A -- RPS6KA1 -- UBE2D3
2,FADD -- MAPK14 -- CHUK -- NFKB1 -- MAPK1 -- E2F1 -- PAK2 -- RB1 -- JUN -- TNF -- IL23A -- AKT1 -- RXRB -- TNFAIP3 -- SP1 -- TP53 -- TGFB1 -- RIPK1 -- BIRC3 -- MAP4K4 -- TNFRSF1B -- TRAF2 -- CYLD -- MAP3K1 -- ZFP36 -- AR -- CFLAR -- HSPB1 -- STAT1 -- CDKN2A -- FASLG -- RHOA -- SOCS3 -- NGF -- FGF14 -- MAP3K14 -- SHC1 -- DAB2IP -- IRF1 -- RPAIN -- HIP1 -- XIAP -- BAD -- CASP7 -- MTOR -- PEA15 -- PRNP -- CYCS -- IL16 -- HIF1A -- UBE2D3
3,FADD -- IL2 -- E2F1 -- RELA -- PAK2 -- RB1 -- NFKBIA -- AKT1 -- RXRB -- TNFRSF1A -- SP1 -- TGFB1 -- BIRC3 -- TNFRSF1B -- TRAF2 -- CYLD -- ZFP36 -- BIRC2 -- ATM -- CFLAR -- IL4 -- CSF2 -- HSPB1 -- IKBKB -- STAT1 -- FBXO31 -- CCND1 -- RIPK2 -- PPM1A -- PRKCE -- FASLG -- SOCS3 -- NGF -- FGF14 -- FGF7 -- IFNB1 -- IRF1 -- HIP1 -- OTUD7B -- BAD -- BCL2L1 -- ERBB2 -- BID -- NFE2L2 -- IL16 -- HIF1A -- TP63 -- UBE2D3
4,MYD88 -- IL2 -- MAPK8 -- MAPK14 -- NFATC2 -- NFKB1 -- MAPK1 -- E2F1 -- RB1 -- JUN -- MYC -- TNF -- IL23A -- AKT1 -- RXRB -- TNFRSF1A -- SP1 -- ADAM17 -- TP53 -- TGFB1 -- RIPK1 -- CASP2 -- BIRC3 -- IRAK1 -- MAP4K4 -- TNFRSF1B -- TRAF2 -- BIRC2 -- IL4 -- CSF2 -- HSPB1 -- IKBKB -- TERT -- FBXO31 -- MAP2K7 -- PPM1A -- SMURF2 -- PRKCE -- FASLG -- RHOA -- SOCS3 -- NGF -- FGF7 -- TNFRSF10B -- TNFRSF14 -- IFNB1 -- PIAS2 -- CASP8 -- OTUD7B -- XIAP -- BCL2L1 -- PEA15 -- IL16 -- TP63 -- RPS6KA1 -- UBE2D3
5,FADD -- IL1B -- MYD88 -- IL2 -- CASP3 -- MAPK8 -- NFATC2 -- BCL2 -- CHUK -- NFKB1 -- MAPK1 -- E2F1 -- JUN -- MYC -- NFKBIA -- IL23A -- RXRB -- TNFRSF1A -- SP1 -- VEGFA -- TP53 -- TRADD -- RIPK1 -- TNFRSF1B -- TRAF1 -- BIRC2 -- ATM -- HSPB1 -- TERT -- CDKN2A -- RHOA -- NGF -- FGF14 -- FGF7 -- TNFRSF14 -- DAB2IP -- IFNB1 -- PIAS2 -- RPAIN -- CASP8 -- OTUD7B -- BAD -- BCL2L1 -- SMPD1 -- CASP1 -- PEA15 -- PRNP -- CYCS -- NFE2L2 -- IL16 -- HIF1A -- TP63
6,IL1B -- MAPK8 -- BCL2 -- CHUK -- MAPK3 -- E2F1 -- RELA -- PAK2 -- JUN -- TNF -- AKT1 -- RXRB -- TNFRSF1A -- TNFAIP3 -- SP1 -- VEGFA -- TP53 -- EIF2AK2 -- BIRC3 -- IRAK1 -- MAP4K4 -- CYLD -- ZFP36 -- AR -- BIRC2 -- IL4 -- IKBKB -- CDKN2A -- FBXO31 -- MAP2K7 -- PRKCE -- FASLG -- RHOA -- SOCS3 -- FGF14 -- MAP3K14 -- FGF7 -- KRT18 -- TNFRSF14 -- PIAS2 -- CASP8 -- OTUD7B -- BAD -- CASP1 -- ERBB2 -- MTOR -- PEA15 -- FAF1 -- BID -- BAX -- CYCS -- IL16 -- HIF1A -- TP63
7,MYD88 -- NFATC2 -- BCL2 -- CHUK -- RELA -- PAK2 -- NFKBIA -- TNFRSF1A -- ADAM17 -- TP53 -- TGFB1 -- TRADD -- RIPK1 -- BIRC3 -- IRAK1 -- MAP4K4 -- TNFRSF1B -- TRAF2 -- CYLD -- AR -- ATM -- CFLAR -- IL4 -- HSPB1 -- IKBKB -- TERT -- MAP2K7 -- RIPK2 -- FASLG -- RHOA -- SOCS3 -- NGF -- TNFRSF10B -- KRT18 -- TNFRSF14 -- SQSTM1 -- IFNB1 -- IRF1 -- XIAP -- CASP7 -- CASP1 -- ERBB2 -- MTOR -- FAF1 -- BID -- NFE2L2
8,IL1B -- CASP3 -- NFATC2 -- BCL2 -- MAPK1 -- E2F1 -- PAK2 -- IL23A -- AKT1 -- TNFAIP3 -- SP1 -- VEGFA -- TRADD -- RIPK1 -- EIF2AK2 -- CASP2 -- IRAK1 -- MAP4K4 -- TNFRSF1B -- TRAF2 -- TRAF1 -- MAP3K1 -- ZFP36 -- CSF2 -- IKBKB -- STAT1 -- CDKN2A -- CCND1 -- MAP2K7 -- PPM1A -- SMURF2 -- FASLG -- NGF -- MAP3K14 -- TNFRSF10B -- SQSTM1 -- IFNB1 -- PIAS2 -- IRF1 -- RPAIN -- HIP1 -- CASP8 -- OTUD7B -- BAD -- BCL2L1 -- CASP7 -- SMPD1 -- CASP1 -- PEA15 -- PRNP -- TP63
9,FADD -- IL1B -- MAPK8 -- CHUK -- NFKB1 -- MAPK3 -- PAK2 -- RB1 -- JUN -- TNF -- AKT1 -- TNFRSF1A -- TNFAIP3 -- TP53 -- TGFB1 -- TRADD -- RIPK1 -- EIF2AK2 -- BIRC3 -- TRAF2 -- TRAF1 -- MAP3K1 -- ZFP36 -- AR -- IKBKB -- STAT1 -- PPM1A -- FGF14 -- SHC1 -- IFNB1 -- IRF1 -- HIP1 -- OTUD7B -- XIAP -- BAD -- BCL2L1 -- PEA15 -- NFE2L2 -- HIF1A -- RPS6KA1
