0: 
1: 
2: 
3: 
4: 
5: 
6: 17
7: 9
8: 
9: 22,7
10: 24,74,40
11: 13,58
12: 
13: 11
14: 25,27,60,103
15: 114
16: 
17: 6
18: 21,55,35,20,37
19: 
20: 94,18,55,117
21: 18,55,37
22: 9
23: 53,36,35,94,38
24: 10,40
25: 14,27
26: 
27: 101,41,60,14,25
28: 
29: 30
30: 29,87,47
31: 138,69,89
32: 54
33: 
34: 
35: 94,37,18,53,23
36: 23,38,120
37: 35,18,21
38: 56,120,36,23
39: 81,103,99,150
40: 10,24
41: 27,101,59
42: 43
43: 42,80
44: 129
45: 81,128,100,62
46: 47,133
47: 65,30,46
48: 71,66,54
49: 50,69,68,70
50: 69,112,54,49
51: 71,72,70,52
52: 91,51,72,73
53: 23,35
54: 32,50,48
55: 18,21,73,20
56: 38,120
57: 98,125,123,174
58: 11
59: 101,41
60: 78,27,14
61: 64
62: 84,45,152
63: 85
64: 61
65: 47,133
66: 48
67: 
68: 72,70,138,49,140,141
69: 50,161,49,31
70: 68,72,49,51
71: 48,51
72: 68,115,70,51,52
73: 55,52
74: 10
75: 93,92,145,96
76: 79,120
77: 79
78: 60,98,99,124
79: 76,77
80: 43,103
81: 45,39,128
82: 150,100,175
83: 235,208,155
84: 62,106
85: 63
86: 
87: 30
88: 142,89,162,189
89: 142,88,162,138,31
90: 247,118,276,191
91: 52,115,143,92
92: 93,75,145,91,221
93: 75,92,145,116,122
94: 35,20,117,23
95: 117,96
96: 117,95,75
97: 172,225,119,146,198,123
98: 57,78,124
99: 124,78,39,150
100: 150,82,45
101: 27,41,59
102: 124,174,175
103: 14,80,39
104: 105,207,151
105: 104,180,152,153
106: 84
107: 
108: 111
109: 187,159,113,135
110: 
111: 136,108
112: 50
113: 186,109,187,160
114: 15
115: 72,141,91,143
116: 122,93
117: 95,96,20,94
118: 163,139,90,166,191
119: 253,122,146,97
120: 38,56,36,76
121: 146
122: 116,93,145,119,253
123: 125,173,172,97,57
124: 99,102,78,98,174
125: 173,123,202,174,57
126: 231,175,177
127: 231,205
128: 45,81
129: 44
130: 181
131: 206,237
132: 242,134
133: 65,46
134: 242,132
135: 162,109,211
136: 111,186,187
137: 189,164,190
138: 31,142,89,68,140
139: 163,118,140,141,142
140: 139,141,138,142,68
141: 139,140,68,115
142: 88,89,138,163,139,140
143: 166,192,221,115,91
144: 224,249,195,170,171,194
145: 93,75,92,122
146: 121,119,97
147: 228,229,286,284,200
148: 199,251,171,224,225,253
149: 201,257,342,230
150: 100,82,99,39
151: 104,207
152: 153,62,105
153: 152,105,180
154: 179,291,290
155: 83,208
156: 181,294
157: 210
158: 183
159: 109,187,188,211
160: 113
161: 69
162: 135,189,88,89
163: 118,139,142,165,247
164: 213,137,216,190,245
165: 190,218,163,247
166: 143,192,118,191
167: 276,244,218,220,247
168: 337,169,252,278
169: 248,223,195,199,337,168
170: 194,192,221,144,249
171: 194,224,144,253,148
172: 97,226,198,173,123
173: 125,123,202,172,228
174: 125,57,124,102
175: 126,102,82
176: 230,256,231,204
177: 178,231,126
178: 202,177,203
179: 154,287,379
180: 105,207,153
181: 130,156,294
182: 294
183: 158
184: 270,327
185: 
186: 113,136,187
187: 109,159,136,113,186
188: 211,159,271,216
189: 137,162,88
190: 218,165,137,164,245
191: 219,118,90,166,192
192: 166,143,221,219,191,170
193: 276,304,308
194: 170,171,221,144
195: 224,144,249,248,169,199
196: 199,251,337,254,283,279
197: 255,279,227,313,284
198: 254,226,225,251,172,97
199: 251,196,148,224,195,169,337
200: 315,257,147,286,285
201: 258,232,149,342,230,256,233
