0: 
1: 
2: 
3: 
4: 
5: 
6: 22,37,9
7: 24
8: 10
9: 10,22,6
10: 9,8
11: 40
12: 19
13: 42
14: 99,103,124,77,60
15: 32
16: 
17: 66
18: 21,36
19: 12
20: 95,73,96,93
21: 18,71,51
22: 6,35,37,9
23: 53
24: 7
25: 60,103,63
26: 58
27: 43
28: 
29: 30
30: 29
31: 109,67,50,69
32: 15,112
33: 
34: 
35: 22,37
36: 94,18
37: 22,6,35
38: 53,94,120
39: 99,103,100
40: 11
41: 101,59
42: 13,61
43: 60,27
44: 64
45: 82,152,62,84
46: 47,161
47: 114,46
48: 54,71
49: 70
50: 161,31,69
51: 71,55,21
52: 68,55,70
53: 23,38,94
54: 112,48
55: 51,52,73
56: 122,116,79,121
57: 78,98,146,172
58: 26
59: 101,41,74
60: 25,43,14,103
61: 80,42
62: 175,150,100,82,45
63: 25
64: 44
65: 185
66: 17,71
67: 31,109,186,161
68: 138,52,140,72,91
69: 89,31,50
70: 49,138,52
71: 51,48,66,21
72: 141,140,68,115,91
73: 55,20,95
74: 59
75: 93,96,116
76: 120,79
77: 78,14,124
78: 57,98,77,124,174
79: 121,56,76
80: 61,128
81: 100,84
82: 105,45,62,175,153
83: 154,261
84: 81,85,45
85: 84
86: 110
87: 
88: 142,89
89: 69,88,142,138
90: 249,191,193,276,248
91: 166,115,68,72,143,95
92: 171,194,221,143,93
93: 75,20,143,96,92
94: 36,117,38,53
95: 20,143,73,91
96: 117,20,93,75
97: 123,119,145,225,198,226
98: 57,78,146
99: 39,14,124,174,102,150
100: 81,39,150,62
101: 59,41
102: 174,150,99,178,125
103: 39,14,25,60
104: 106
105: 82,152,180
106: 104,152,151
107: 130
108: 
109: 31,67,186,160
110: 210,187,86
111: 
112: 54,32
113: 160
114: 47
115: 166,91,141,72,118
116: 56,122,75,194,145
117: 96,94
118: 192,191,166,115
119: 123,97,122,121
120: 38,76
121: 79,146,56,122,119
122: 56,116,145,121,119
123: 97,119,146,172
124: 14,99,77,78,174
125: 178,102
126: 177
127: 205,178,177
128: 80
129: 
130: 107
131: 208,262
132: 
133: 136
134: 188,242,159
135: 162,189,211,137,164
136: 133,186
137: 164,190,135,189
138: 68,89,70,140
139: 163,218,189,190
140: 141,72,138,68
141: 140,72,165,247,115
142: 88,89
143: 95,91,93,92
144: 224,195,170,223,199,196
145: 253,225,194,122,116,97
146: 121,123,57,98
147: 200,202,255,284,257
148: 251,196,224,253,225,198
149: 315,203,285,201
150: 174,102,99,100,62,175
151: 180,106
152: 105,45,106,180
153: 205,175,82,176
154: 83,209,262
155: 
156: 182
157: 295
158: 240,267
159: 216,134,188,211
160: 162,113,109
161: 46,67,50
162: 135,189,160
163: 218,139,165,247,167
164: 137,216,213,135,245
165: 163,141,247
166: 115,91,192,118
167: 191,247,163,244,276
168: 280,278,169,252
169: 222,223,199,337,168
170: 224,144,195,192,221
171: 194,221,92,224,253
172: 173,123,228,57
173: 172,200
174: 102,150,78,99,124
175: 62,150,205,153,82
176: 153
177: 178,126,127
178: 177,125,102,127
179: 209,287,290,379
180: 151,105,152
181: 
182: 156
183: 
184: 299,270,241
185: 65
186: 136,109,67
187: 210,110
188: 134,242,272,159,216
189: 162,135,137,190,139
190: 137,189,218,139
191: 247,167,276,90,118
192: 249,118,166,221,170
193: 246,304,276,90,248,219
194: 171,92,116,145,253
195: 144,170,248,223,199
196: 251,148,144,199
197: 312,371,227,341,313
198: 254,226,225,251,148,97
199: 223,169,144,195,196,337
200: 202,147,228,229,173
201: 258,256,149,285
202: 200,147
203: 315,149,257,285
