ID,state
0,MYD88 -- CHUK -- MAPK1 -- MAPK3 -- E2F1 -- RELA -- JUN -- RXRB -- TNFAIP3 -- SP1 -- VEGFA -- ADAM17 -- EIF2AK2 -- BIRC3 -- IRAK1 -- MAP4K4 -- TNFRSF1B -- TRAF1 -- MAP3K1 -- ZFP36 -- BIRC2 -- ATM -- IL4 -- HSPB1 -- CDKN2A -- FBXO31 -- PPM1A -- SOCS3 -- NGF -- SHC1 -- IFNB1 -- IRF1 -- RPAIN -- HIP1 -- OTUD7B -- XIAP -- ERBB2 -- MTOR -- PRNP -- IL16 -- HIF1A -- RPS6KA1 -- UBE2D3
1,MYD88 -- CHUK -- MAPK1 -- MAPK3 -- E2F1 -- RELA -- JUN -- RXRB -- TNFAIP3 -- SP1 -- VEGFA -- ADAM17 -- EIF2AK2 -- BIRC3 -- IRAK1 -- MAP4K4 -- TNFRSF1B -- TRAF1 -- MAP3K1 -- ZFP36 -- BIRC2 -- ATM -- IL4 -- HSPB1 -- CDKN2A -- FBXO31 -- PPM1A -- SOCS3 -- NGF -- SHC1 -- IFNB1 -- IRF1 -- RPAIN -- HIP1 -- OTUD7B -- XIAP -- ERBB2 -- MTOR -- PRNP -- IL16 -- HIF1A -- RPS6KA1 -- UBE2D3
2,MYD88 -- CHUK -- MAPK1 -- MAPK3 -- E2F1 -- RELA -- JUN -- RXRB -- TNFAIP3 -- SP1 -- VEGFA -- ADAM17 -- EIF2AK2 -- BIRC3 -- IRAK1 -- MAP4K4 -- TNFRSF1B -- CYLD -- MAP3K1 -- ZFP36 -- BIRC2 -- ATM -- IL4 -- HSPB1 -- CDKN2A -- FBXO31 -- PPM1A -- SOCS3 -- NGF -- SHC1 -- IFNB1 -- IRF1 -- RPAIN -- HIP1 -- OTUD7B -- XIAP -- ERBB2 -- MTOR -- PRNP -- IL16 -- HIF1A -- RPS6KA1 -- UBE2D3
3,MYD88 -- CHUK -- MAPK1 -- MAPK3 -- E2F1 -- RELA -- JUN -- RXRB -- TNFAIP3 -- SP1 -- VEGFA -- ADAM17 -- EIF2AK2 -- BIRC3 -- IRAK1 -- MAP4K4 -- TNFRSF1B -- CYLD -- MAP3K1 -- ZFP36 -- BIRC2 -- ATM -- IL4 -- HSPB1 -- CDKN2A -- FBXO31 -- PPM1A -- SOCS3 -- NGF -- SHC1 -- IFNB1 -- IRF1 -- RPAIN -- HIP1 -- OTUD7B -- XIAP -- ERBB2 -- MTOR -- PRNP -- IL16 -- HIF1A -- RPS6KA1 -- UBE2D3
4,MYD88 -- CHUK -- MAPK1 -- MAPK3 -- E2F1 -- RELA -- JUN -- RXRB -- TNFAIP3 -- SP1 -- VEGFA -- ADAM17 -- EIF2AK2 -- BIRC3 -- IRAK1 -- MAP4K4 -- TNFRSF1B -- TRAF1 -- MAP3K1 -- ZFP36 -- BIRC2 -- ATM -- IL4 -- HSPB1 -- CDKN2A -- FBXO31 -- PPM1A -- SOCS3 -- NGF -- SHC1 -- IFNB1 -- IRF1 -- RPAIN -- HIP1 -- OTUD7B -- XIAP -- ERBB2 -- MTOR -- PRNP -- IL16 -- HIF1A -- RPS6KA1 -- UBE2D3
5,MYD88 -- CHUK -- MAPK1 -- MAPK3 -- E2F1 -- RELA -- JUN -- RXRB -- TNFAIP3 -- SP1 -- VEGFA -- ADAM17 -- EIF2AK2 -- BIRC3 -- IRAK1 -- MAP4K4 -- TNFRSF1B -- TRAF1 -- MAP3K1 -- ZFP36 -- BIRC2 -- ATM -- IL4 -- HSPB1 -- CDKN2A -- FBXO31 -- PPM1A -- SOCS3 -- NGF -- SHC1 -- IFNB1 -- IRF1 -- RPAIN -- HIP1 -- OTUD7B -- XIAP -- ERBB2 -- MTOR -- PRNP -- IL16 -- HIF1A -- RPS6KA1 -- UBE2D3
6,MYD88 -- CHUK -- MAPK1 -- MAPK3 -- E2F1 -- RELA -- JUN -- RXRB -- TNFAIP3 -- SP1 -- VEGFA -- ADAM17 -- EIF2AK2 -- BIRC3 -- IRAK1 -- MAP4K4 -- TNFRSF1B -- CYLD -- MAP3K1 -- ZFP36 -- BIRC2 -- ATM -- IL4 -- HSPB1 -- CDKN2A -- FBXO31 -- PPM1A -- SOCS3 -- NGF -- SHC1 -- IFNB1 -- IRF1 -- RPAIN -- HIP1 -- OTUD7B -- XIAP -- ERBB2 -- MTOR -- PRNP -- IL16 -- HIF1A -- RPS6KA1 -- UBE2D3
7,MYD88 -- CHUK -- MAPK1 -- MAPK3 -- E2F1 -- RELA -- JUN -- RXRB -- TNFAIP3 -- SP1 -- VEGFA -- ADAM17 -- EIF2AK2 -- BIRC3 -- IRAK1 -- MAP4K4 -- TNFRSF1B -- CYLD -- MAP3K1 -- ZFP36 -- BIRC2 -- ATM -- IL4 -- HSPB1 -- CDKN2A -- FBXO31 -- PPM1A -- SOCS3 -- NGF -- SHC1 -- IFNB1 -- IRF1 -- RPAIN -- HIP1 -- OTUD7B -- XIAP -- ERBB2 -- MTOR -- PRNP -- IL16 -- HIF1A -- RPS6KA1 -- UBE2D3
8,MYD88 -- CHUK -- MAPK1 -- MAPK3 -- E2F1 -- RELA -- JUN -- RXRB -- TNFAIP3 -- SP1 -- VEGFA -- ADAM17 -- EIF2AK2 -- BIRC3 -- IRAK1 -- MAP4K4 -- TNFRSF1B -- TRAF1 -- MAP3K1 -- ZFP36 -- BIRC2 -- ATM -- IL4 -- HSPB1 -- CDKN2A -- FBXO31 -- PPM1A -- SOCS3 -- NGF -- SHC1 -- IFNB1 -- IRF1 -- RPAIN -- HIP1 -- OTUD7B -- XIAP -- ERBB2 -- MTOR -- PRNP -- IL16 -- HIF1A -- RPS6KA1 -- UBE2D3
9,MYD88 -- CHUK -- MAPK1 -- MAPK3 -- E2F1 -- RELA -- JUN -- RXRB -- TNFAIP3 -- SP1 -- VEGFA -- ADAM17 -- EIF2AK2 -- BIRC3 -- IRAK1 -- MAP4K4 -- TNFRSF1B -- TRAF1 -- MAP3K1 -- ZFP36 -- BIRC2 -- ATM -- IL4 -- HSPB1 -- CDKN2A -- FBXO31 -- PPM1A -- SOCS3 -- NGF -- SHC1 -- IFNB1 -- IRF1 -- RPAIN -- HIP1 -- OTUD7B -- XIAP -- ERBB2 -- MTOR -- PRNP -- IL16 -- HIF1A -- RPS6KA1 -- UBE2D3
