ID,state
0,MYC -- CCND1 -- TNF -- TNFRSF1A -- PTMA -- RBL2 -- IGF1 -- SMPD1 -- RAC1 -- AKT1 -- CASP7
1,MYC -- CCND1 -- TNF -- TNFRSF1A -- E2F1 -- BAD -- CYCS -- RBL2 -- CASP3 -- RAC1 -- AKT1 -- CASP7
2,MYC -- CCND1 -- PTMA -- SMPD1 -- RAC1 -- CDK6 -- CASP7
3,TNF -- TNFRSF1A -- BAD -- CYCS -- PTMA -- RBL2 -- CASP3 -- SMPD1 -- NFKB1 -- CDK6 -- AKT1
4,MYC -- TNFRSF1A -- BAX -- BCL2 -- CYCS -- PTMA -- RBL2 -- CASP7
5,CCND1 -- TNF -- TNFRSF1A -- BAX -- BAD -- BCL2 -- CYCS -- PTMA -- CASP3 -- IGF1 -- NFKB1 -- CDK6 -- CASP7
6,MYC -- CCND1 -- TNFRSF1A -- BAX -- E2F1 -- BAD -- CYCS -- IGF1 -- SMPD1 -- RAC1 -- CDK6 -- CASP7
7,TNFRSF1A -- BAX -- CYCS -- CASP3 -- AKT1
8,MYC -- BAD -- BCL2 -- PTMA -- RBL2 -- IGF1 -- SMPD1 -- RAC1 -- NFKB1 -- AKT1 -- CASP7
9,CCND1 -- BCL2 -- CYCS -- RBL2 -- CASP3 -- NFKB1 -- CDK6
10,CCND1 -- BAX -- BCL2 -- PTMA -- RBL2 -- IGF1 -- SMPD1 -- RAC1 -- NFKB1 -- CDK6
11,MYC -- CCND1 -- TNFRSF1A -- BCL2 -- IGF1 -- RAC1 -- AKT1 -- CASP7
12,CCND1 -- TNFRSF1A -- BAX -- BCL2 -- CYCS -- CASP3 -- SMPD1 -- NFKB1 -- CDK6 -- CASP7
13,MYC -- E2F1 -- BCL2 -- CYCS -- CASP3 -- SMPD1 -- CDK6 -- AKT1
14,MYC -- CCND1 -- TNF -- TNFRSF1A -- BAX -- BAD -- BCL2 -- RBL2 -- CASP3 -- IGF1 -- RAC1 -- AKT1
15,MYC -- CYCS -- PTMA -- SMPD1 -- NFKB1 -- CDK6 -- CASP7
16,CCND1 -- TNF -- BAX -- E2F1 -- BCL2 -- PTMA -- CASP3 -- IGF1 -- SMPD1 -- RAC1 -- CDK6 -- CASP7
17,MYC -- TNF -- TNFRSF1A -- BAX -- E2F1 -- BAD -- CYCS -- RBL2 -- IGF1 -- SMPD1 -- NFKB1 -- CDK6
18,CCND1 -- TNF -- E2F1 -- BAD -- CYCS -- CASP3 -- IGF1 -- SMPD1 -- NFKB1 -- CDK6 -- AKT1
19,TNF -- E2F1 -- BAD -- CYCS -- PTMA -- IGF1 -- SMPD1 -- NFKB1 -- CDK6 -- CASP7
20,MYC -- TNF -- TNFRSF1A -- E2F1 -- BAD -- BCL2 -- CYCS -- PTMA -- CASP3 -- NFKB1 -- AKT1 -- CASP7
21,MYC -- CCND1 -- TNF -- CYCS -- RBL2 -- CASP3 -- RAC1 -- NFKB1 -- CDK6 -- AKT1
22,CCND1 -- TNFRSF1A -- BAD -- CASP3 -- IGF1 -- RAC1
23,TNFRSF1A -- E2F1 -- BCL2 -- PTMA -- RBL2 -- CASP3 -- IGF1 -- SMPD1 -- RAC1 -- NFKB1 -- CDK6 -- AKT1
24,MYC -- TNF -- TNFRSF1A -- BAX -- BAD -- BCL2 -- CYCS -- PTMA -- RBL2 -- SMPD1 -- CDK6 -- AKT1 -- CASP7
25,TNF -- TNFRSF1A -- E2F1 -- BAD -- BCL2 -- CYCS -- PTMA -- RBL2 -- CASP3 -- NFKB1 -- CDK6 -- AKT1 -- CASP7
26,MYC -- CCND1 -- BAX -- E2F1 -- BCL2 -- PTMA -- IGF1 -- SMPD1 -- RAC1 -- CDK6
27,TNFRSF1A -- BAX -- BAD -- RBL2 -- CASP3 -- IGF1 -- RAC1 -- NFKB1 -- CDK6 -- AKT1
28,MYC -- TNF -- BAX -- BCL2 -- PTMA -- CASP3 -- NFKB1 -- CDK6
29,MYC -- TNF -- TNFRSF1A -- BAX -- PTMA -- RBL2 -- CASP3 -- SMPD1 -- RAC1 -- NFKB1 -- CDK6 -- AKT1
30,TNF -- TNFRSF1A -- E2F1 -- BAD -- RBL2 -- CASP3 -- RAC1 -- CDK6 -- AKT1
31,CCND1 -- TNF -- TNFRSF1A -- E2F1 -- BAD -- PTMA -- RBL2 -- IGF1 -- SMPD1 -- NFKB1 -- CDK6 -- AKT1 -- CASP7
32,MYC -- TNF -- BAD -- CYCS -- PTMA -- CASP3 -- SMPD1 -- NFKB1 -- CASP7
33,MYC -- TNF -- TNFRSF1A -- BAD -- BCL2 -- CASP3 -- SMPD1 -- RAC1 -- NFKB1 -- CDK6 -- CASP7
34,MYC -- CCND1 -- TNF -- E2F1 -- BCL2 -- RBL2 -- IGF1 -- NFKB1 -- CDK6
35,CCND1 -- BCL2 -- IGF1 -- SMPD1 -- NFKB1 -- CDK6 -- AKT1 -- CASP7
36,MYC -- CCND1 -- BAX -- E2F1 -- BAD -- BCL2 -- CASP3 -- NFKB1 -- CDK6 -- CASP7
37,MYC -- CCND1 -- E2F1 -- BCL2 -- PTMA -- RBL2 -- CASP3 -- IGF1 -- SMPD1 -- RAC1 -- AKT1 -- CASP7
38,CCND1 -- E2F1 -- BCL2 -- CYCS -- CASP3 -- IGF1 -- SMPD1 -- RAC1 -- NFKB1
39,TNF -- TNFRSF1A -- BCL2 -- PTMA -- RBL2 -- CASP3 -- CDK6 -- AKT1 -- CASP7
40,MYC -- CCND1 -- TNF -- E2F1 -- BAD -- BCL2 -- CASP3 -- IGF1 -- SMPD1 -- RAC1 -- NFKB1 -- CDK6 -- CASP7
41,CCND1 -- TNFRSF1A -- BAX -- E2F1 -- CYCS -- CASP3 -- IGF1 -- SMPD1 -- RAC1 -- CDK6
42,CCND1 -- TNF -- TNFRSF1A -- BAX -- E2F1 -- IGF1 -- AKT1 -- CASP7
43,CCND1 -- TNF -- TNFRSF1A -- BAX -- E2F1 -- PTMA -- IGF1 -- CDK6 -- AKT1 -- CASP7
44,MYC -- TNF -- TNFRSF1A -- BAX -- RBL2 -- SMPD1 -- NFKB1
45,MYC -- TNF -- BAX -- BAD -- RBL2 -- SMPD1 -- CDK6 -- AKT1
46,CCND1 -- TNFRSF1A -- E2F1 -- BAD -- CYCS -- IGF1 -- RAC1 -- NFKB1 -- CDK6
47,MYC -- CCND1 -- TNFRSF1A -- BAX -- E2F1 -- BCL2 -- CYCS -- PTMA -- RBL2 -- IGF1 -- SMPD1 -- AKT1
48,E2F1 -- BAD -- CYCS -- PTMA -- RBL2 -- CASP3 -- SMPD1 -- NFKB1 -- CDK6
49,MYC -- CCND1 -- TNF -- TNFRSF1A -- BAX -- E2F1 -- BAD -- BCL2 -- PTMA -- IGF1 -- SMPD1 -- RAC1 -- NFKB1 -- CDK6
50,CCND1 -- TNF -- BCL2 -- CASP3 -- SMPD1 -- RAC1
51,CCND1 -- TNF -- BCL2 -- PTMA -- SMPD1 -- RAC1 -- NFKB1 -- CDK6 -- AKT1
52,TNF -- TNFRSF1A -- BAX -- BAD -- BCL2 -- CYCS -- RBL2 -- IGF1 -- AKT1
53,CCND1 -- TNFRSF1A -- BAX -- E2F1 -- BCL2 -- RBL2 -- CASP3 -- IGF1 -- SMPD1 -- NFKB1 -- CASP7
54,BAX -- CYCS -- PTMA -- IGF1 -- RAC1 -- CDK6 -- CASP7
55,CCND1 -- CYCS -- PTMA -- CASP3 -- RAC1 -- NFKB1 -- AKT1
56,MYC -- TNF -- PTMA -- RBL2 -- CASP3 -- SMPD1 -- AKT1
57,E2F1 -- BCL2 -- PTMA -- IGF1 -- SMPD1 -- RAC1 -- NFKB1 -- CASP7
58,MYC -- TNF -- TNFRSF1A -- E2F1 -- BAD -- CYCS -- PTMA -- AKT1 -- CASP7
59,CCND1 -- TNF -- BAX -- CYCS -- CASP3 -- SMPD1 -- CDK6 -- AKT1
60,CCND1 -- BAD -- BCL2 -- PTMA -- SMPD1 -- RAC1 -- NFKB1 -- CDK6 -- AKT1 -- CASP7
61,TNF -- TNFRSF1A -- E2F1 -- CYCS -- RBL2 -- CASP3 -- IGF1 -- SMPD1 -- RAC1 -- CDK6 -- AKT1
62,MYC -- TNF -- E2F1 -- CYCS -- RBL2 -- CASP3 -- IGF1 -- SMPD1 -- RAC1 -- NFKB1 -- CDK6
63,CCND1 -- E2F1 -- BAD -- BCL2 -- CYCS -- PTMA -- RBL2 -- CASP3 -- IGF1 -- NFKB1 -- CDK6 -- AKT1
64,MYC -- CCND1 -- TNF -- TNFRSF1A -- BAX -- BCL2 -- RAC1 -- AKT1 -- CASP7
65,CCND1 -- TNF -- TNFRSF1A -- CYCS -- PTMA -- RBL2 -- SMPD1 -- RAC1 -- NFKB1 -- CASP7
66,BAX -- E2F1 -- BAD -- CYCS -- PTMA -- SMPD1 -- RAC1
67,BAX -- E2F1 -- BAD -- BCL2 -- CYCS -- CASP3 -- IGF1
68,MYC -- TNF -- TNFRSF1A -- BAX -- E2F1 -- BAD -- CYCS -- CASP3 -- IGF1 -- SMPD1 -- RAC1 -- NFKB1 -- AKT1 -- CASP7
69,CCND1 -- BAX -- E2F1 -- RBL2 -- IGF1 -- SMPD1 -- CDK6 -- CASP7
70,CCND1 -- TNF -- TNFRSF1A -- E2F1 -- CYCS -- PTMA -- IGF1 -- NFKB1 -- AKT1
71,MYC -- TNF -- E2F1 -- BCL2 -- PTMA -- RBL2 -- IGF1 -- SMPD1 -- RAC1 -- NFKB1 -- AKT1 -- CASP7
72,MYC -- TNFRSF1A -- BAX -- E2F1 -- CYCS -- PTMA -- CASP3 -- RAC1 -- CDK6
73,MYC -- TNFRSF1A -- E2F1 -- CYCS -- PTMA -- RBL2 -- IGF1 -- RAC1 -- NFKB1 -- CDK6 -- CASP7
74,MYC -- BAX -- E2F1 -- BAD -- RBL2 -- CDK6 -- AKT1 -- CASP7
75,TNF -- BAX -- E2F1 -- BCL2 -- CYCS -- RBL2 -- CASP3 -- IGF1 -- RAC1 -- CDK6
76,MYC -- CCND1 -- E2F1 -- CYCS -- PTMA -- RBL2 -- NFKB1 -- CDK6 -- CASP7
77,CCND1 -- TNF -- TNFRSF1A -- BAD -- BCL2 -- CYCS -- IGF1 -- NFKB1 -- CDK6 -- CASP7
78,MYC -- CCND1 -- TNF -- TNFRSF1A -- BAX -- E2F1 -- BAD -- BCL2 -- PTMA -- RBL2 -- CASP3 -- RAC1 -- NFKB1 -- CDK6 -- CASP7
79,MYC -- BAX -- E2F1 -- BCL2 -- RBL2 -- CASP3 -- IGF1 -- RAC1 -- NFKB1 -- AKT1
80,TNF -- TNFRSF1A -- BAX -- BCL2 -- PTMA -- RBL2 -- SMPD1 -- AKT1 -- CASP7
81,MYC -- PTMA -- RBL2 -- CASP3 -- IGF1 -- SMPD1 -- RAC1 -- NFKB1 -- CDK6 -- CASP7
82,TNF -- BAX -- BAD -- BCL2 -- CYCS -- RAC1 -- AKT1 -- CASP7
83,TNF -- BAD -- BCL2 -- CYCS -- RBL2 -- IGF1 -- SMPD1 -- CASP7
84,CCND1 -- E2F1 -- BCL2 -- CASP3 -- IGF1 -- NFKB1 -- CDK6
85,MYC -- CCND1 -- BAX -- E2F1 -- CYCS -- PTMA -- RBL2 -- SMPD1 -- RAC1 -- NFKB1 -- CDK6 -- AKT1
86,TNF -- BAX -- BAD -- BCL2 -- PTMA -- RBL2 -- CASP3 -- IGF1 -- AKT1
87,CCND1 -- TNF -- BAD -- CYCS -- PTMA -- IGF1 -- NFKB1 -- AKT1
88,MYC -- CCND1 -- E2F1 -- BAD -- BCL2 -- CYCS -- CASP3 -- IGF1 -- SMPD1 -- RAC1 -- CDK6 -- CASP7
89,MYC -- TNF -- TNFRSF1A -- BAD -- SMPD1 -- RAC1
90,CCND1 -- TNF -- BAX -- BAD -- BCL2 -- CYCS -- PTMA -- CASP3 -- NFKB1 -- AKT1
91,CCND1 -- TNF -- E2F1 -- BCL2 -- RBL2 -- CASP3 -- RAC1 -- NFKB1 -- AKT1 -- CASP7
92,TNF -- BAX -- E2F1 -- BAD -- PTMA -- CASP3 -- IGF1 -- SMPD1 -- RAC1 -- CDK6 -- AKT1
93,MYC -- BAX -- E2F1 -- BAD -- BCL2 -- RBL2 -- CASP3 -- SMPD1 -- CDK6 -- CASP7
94,CCND1 -- TNF -- BAD -- CYCS -- PTMA -- RBL2 -- SMPD1 -- RAC1 -- NFKB1
95,MYC -- TNFRSF1A -- BAX -- E2F1 -- BAD -- RAC1 -- NFKB1 -- CDK6 -- AKT1 -- CASP7
96,MYC -- BCL2 -- PTMA -- CASP3 -- SMPD1 -- CASP7
97,TNF -- BAX -- E2F1 -- BAD -- PTMA -- CASP3 -- SMPD1 -- RAC1 -- NFKB1
98,E2F1 -- CYCS -- RBL2 -- IGF1 -- CDK6 -- AKT1 -- CASP7
99,MYC -- CCND1 -- TNF -- BAX -- E2F1 -- BAD -- BCL2 -- RBL2 -- IGF1 -- SMPD1 -- RAC1 -- CDK6 -- CASP7
