parameter,group,GPT-5,Sonnet-4,GPT-4o,different
PhysiCell_settings/@version,Other,devel-version,devel-version,devel-version,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/custom_data/sample,Other,1,1,1,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/custom_data/sample/@conserved,Other,false,false,false,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/custom_data/sample/@description,Other,empty,empty,empty,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/custom_data/sample/@units,Other,dimensionless,dimensionless,dimensionless,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/initial_parameter_distributions[@enabled=false]/@enabled,Other,false,false,false,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/initial_parameter_distributions[@enabled=false]/distribution[@type=Log10Normal]/@check_base,Other,true,true,true,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/initial_parameter_distributions[@enabled=false]/distribution[@type=Log10Normal]/@enabled,Other,false,false,false,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/initial_parameter_distributions[@enabled=false]/distribution[@type=Log10Normal]/behavior,Other,Volume,Volume,Volume,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/initial_parameter_distributions[@enabled=false]/distribution[@type=Log10Normal]/mu,Other,4,4,4,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/initial_parameter_distributions[@enabled=false]/distribution[@type=Log10Normal]/sigma,Other,2,2,2,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/initial_parameter_distributions[@enabled=false]/distribution[@type=Log10Normal]/upper_bound,Other,100000,100000,100000,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/initial_parameter_distributions[@enabled=false]/distribution[@type=LogUniform]/@check_base,Other,true,true,true,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/initial_parameter_distributions[@enabled=false]/distribution[@type=LogUniform]/@enabled,Other,false,false,false,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/initial_parameter_distributions[@enabled=false]/distribution[@type=LogUniform]/behavior,Other,apoptosis,apoptosis,apoptosis,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/initial_parameter_distributions[@enabled=false]/distribution[@type=LogUniform]/max,Other,0.01,0.01,0.01,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/initial_parameter_distributions[@enabled=false]/distribution[@type=LogUniform]/min,Other,1e-06,1e-06,1e-06,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/cell_integrity/damage_rate,Cell integrity,0,0,0,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/cell_integrity/damage_rate/@units,Cell integrity,1/min,1/min,1/min,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/cell_integrity/damage_repair_rate,Cell integrity,0,0,0,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/cell_integrity/damage_repair_rate/@units,Cell integrity,1/min,1/min,1/min,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/cell_interactions/apoptotic_phagocytosis_rate,Cell interactions,0,0,0,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/cell_interactions/apoptotic_phagocytosis_rate/@units,Cell interactions,1/min,1/min,1/min,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/cell_interactions/attack_damage_rate,Cell interactions,1,1,1,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/cell_interactions/attack_damage_rate/@units,Cell interactions,1/min,1/min,1/min,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/cell_interactions/attack_duration,Cell interactions,0.1,0.1,0.1,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/cell_interactions/attack_duration/@units,Cell interactions,min,min,min,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/cell_interactions/attack_rates/attack_rate[@name=cancer_cell],Cell interactions,0,0,0,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/cell_interactions/attack_rates/attack_rate[@name=cancer_cell]/@units,Cell interactions,1/min,1/min,1/min,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/cell_interactions/fusion_rates/fusion_rate[@name=cancer_cell],Cell interactions,0,0,0,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/cell_interactions/fusion_rates/fusion_rate[@name=cancer_cell]/@units,Cell interactions,1/min,1/min,1/min,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/cell_interactions/live_phagocytosis_rates/phagocytosis_rate[@name=cancer_cell],Cell interactions,0,0,0,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/cell_interactions/live_phagocytosis_rates/phagocytosis_rate[@name=cancer_cell]/@units,Cell interactions,1/min,1/min,1/min,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/cell_interactions/necrotic_phagocytosis_rate,Cell interactions,0,0,0,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/cell_interactions/necrotic_phagocytosis_rate/@units,Cell interactions,1/min,1/min,1/min,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/cell_interactions/other_dead_phagocytosis_rate,Cell interactions,0,0,0,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/cell_interactions/other_dead_phagocytosis_rate/@units,Cell interactions,1/min,1/min,1/min,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/cell_transformations/transformation_rates/transformation_rate[@name=cancer_cell],Cell transformations,0,0,0,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/cell_transformations/transformation_rates/transformation_rate[@name=cancer_cell]/@units,Cell transformations,1/min,1/min,1/min,False
